rank,influencer,category,followers,likes,comments,sentiment_score,sentiment_score
1,angbeaufeaux,fashion,1153,717,295,0.43374128231437253,0.43374128231437253
2,denim910,fashion,1020,461,1540,0.675001639095303,0.675001639095303
3,flavia.dir,travel,1258,358,322,0.6002608157650094,0.6002608157650094
4,allex.andraa,fashion,1123,857,305,0.49909974267222607,0.49909974267222607
5,basialamy,fashion,1004,777,312,0.5921526261981453,0.5921526261981453
6,carsonhollier,fitness,1324,1079,323,0.4320789288958154,0.4320789288958154
7,amelia_kennedy_,family,1162,727,692,0.4883894157761877,0.4883894157761877
8,asim_cheema,travel,1188,244,483,0.6277020051689416,0.6277020051689416
9,elboustany,travel,1723,847,529,0.7026217238143481,0.7026217238143481
10,amara_murillo,fashion,1336,1272,493,0.6044671112120102,0.6044671112120102
11,bethanyinge,family,1062,745,417,0.5355833167746153,0.5355833167746153
12,annakapiteijn,fashion,1262,1213,281,0.684632589663187,0.684632589663187
13,ashleydirksen,fashion,1679,1079,382,0.6606511084907508,0.6606511084907508
14,chardinebiathlon,travel,1270,270,488,0.714035631728751,0.714035631728751
15,alexandra.kirchberger,fitness,1422,541,448,0.7154528645429135,0.7154528645429135
16,courtneysimmonds_,family,1011,494,637,0.6291571606271905,0.6291571606271905
17,dirtiehippy,fashion,1287,905,491,0.47481696557292363,0.47481696557292363
18,carrmelisaa,travel,1545,992,1573,0.5132610453227743,0.5132610453227743
19,eelsamansson,fashion,1283,594,639,0.5237290680819376,0.5237290680819376
20,_tanyapop,fashion,1341,997,731,0.6713569322860959,0.6713569322860959
21,amy.bales,fitness,1620,932,446,0.5986455305837939,0.5986455305837939
22,ainamariafranklinos,fashion,1020,427,462,0.6621372495289785,0.6621372495289785
23,fiaaandersson,fashion,1270,499,458,0.6517122782158901,0.6517122782158901
24,annecampbell91,family,1219,1107,311,0.41572691273275486,0.41572691273275486
25,barbspatino,fashion,1070,694,444,0.49791350942810947,0.49791350942810947
26,anibelin,fashion,1643,1063,382,0.7711044416111912,0.7711044416111912
27,darylannwhite,fitness,2172,1858,847,0.5259406956502982,0.5259406956502982
28,abbiekaym,fashion,1133,877,385,0.4953857083122156,0.4953857083122156
29,cykeefer,fashion,1398,835,381,0.4670259230794722,0.4670259230794722
30,carlykozz,family,1015,513,941,0.7059297347133167,0.7059297347133167
31,discodaddy96,family,1051,665,409,0.4708845904672281,0.4708845904672281
32,birgittefagstad,family,1524,626,567,0.6232104857616813,0.6232104857616813
33,bailee_denny,fashion,2492,1096,863,0.6678158251152183,0.6678158251152183
34,emimesch,fashion,1111,472,215,0.7018863056972429,0.7018863056972429
35,a12team,fashion,1319,861,405,0.7055199526417246,0.7055199526417246
36,ashleynordyke,fashion,2180,1371,278,0.5265889923173555,0.5265889923173555
37,dressesandcakes,food,1784,1065,313,0.5806559395560861,0.5806559395560861
38,ellapspencer,family,1290,449,374,0.511242574024643,0.511242574024643
39,audreyel,fashion,1661,2329,682,0.6165788840071341,0.6165788840071341
40,chaandlerr,travel,1521,1007,1078,0.6376400298862295,0.6376400298862295
41,daninations,travel,1232,646,1046,0.5963020706329177,0.5963020706329177
42,ashtaystew,family,1597,1263,376,0.6839789364669018,0.6839789364669018
43,abigailrosehill,travel,1323,678,427,0.5485806844242579,0.5485806844242579
44,brie.lynch,family,1158,688,595,0.5859467094069379,0.5859467094069379
45,erinshuffett,family,1008,1402,406,0.5346924751759963,0.5346924751759963
46,brennanfoster,travel,1125,321,931,0.647107032170173,0.647107032170173
47,bekah.roberts,family,1182,832,514,0.8121836750576648,0.8121836750576648
48,abigail.mewbourne,family,1232,1273,281,0.7301739538614834,0.7301739538614834
49,_alexisevans,fitness,1506,1654,1201,0.7320374387986978,0.7320374387986978
50,anchitnatha,travel,1375,972,464,0.6239078064092637,0.6239078064092637
51,chlo__j,fashion,1823,1472,1183,0.6243501277082961,0.6243501277082961
52,andreeadatcu,fashion,1399,1518,603,0.5039582640842545,0.5039582640842545
53,allie___gee,travel,1229,668,533,0.4231589179383879,0.4231589179383879
54,childlikeenthusiasm,family,1038,854,665,0.4544994891170672,0.4544994891170672
55,coh_photo,travel,1085,994,303,0.5470069415812088,0.5470069415812088
56,ceciliadelacruz7,fashion,2504,755,401,0.6006628481839744,0.6006628481839744
57,aubreygrensing,family,1356,798,614,0.7004197161549611,0.7004197161549611
